config_id,iteration,seed,rule_kl_coef,entropy_coef,lr,approx_kl,clip_fraction,entropy,rule_kl,rule_agreement,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate,rank_pt,fourth_rate,deal_in_rate,batch_size,episode_count,illegal_action_rate,fallback_rate,forced_terminal_missed
31,2,23380425,0.01,0.005,0.0001,9.73164691192574e-12,0.0,1.340844750404358,-7.31166416301221e-09,1.0,0.00026123266434296966,0.0005507831228896976,0.0,-0.5,0.5,0.0,25,2,0.0,0.0,0
32,0,23460425,0.01,0.005,0.0003,0.0,0.0,1.338140845298767,-1.355070367026201e-08,1.0,0.00024496758123859763,0.000462601485196501,0.0,0.75,0.0,0.0,32,2,0.0,0.0,0
32,1,23470425,0.01,0.005,0.0003,8.607581661324026e-12,0.0,1.439211130142212,-2.2080586248307554e-08,1.0,0.0002693177084438503,0.0006036031991243362,0.0,0.5,0.0,0.0,29,2,0.0,0.0,0
32,2,23480425,0.01,0.005,0.0003,4.921356031029056e-11,0.0,1.2184592485427856,1.4990011010240778e-08,1.0,0.0004044717352371663,0.0007818618323653936,0.0,1.0,0.0,0.0,36,2,0.0,0.0,0
33,0,23560425,0.01,0.01,3e-05,0.0,0.0,1.3747309446334839,-3.235163692494325e-09,1.0,7.610917236888781e-06,2.198719812440686e-05,0.0,-0.5,0.5,0.0,25,2,0.0,0.0,0
33,1,23570425,0.01,0.01,3e-05,1.7725285215292041e-13,0.0,1.351231575012207,4.8418518083792605e-09,1.0,1.1585362699406687e-05,4.715548493550159e-05,0.0,0.75,0.0,0.0,29,2,0.0,0.0,0
33,2,23580425,0.01,0.01,3e-05,3.2440001206113234e-13,0.0,1.3563646078109741,1.4031551920368202e-08,1.0,2.6060943127959035e-05,8.0645433627069e-05,0.0,-0.25,0.5,0.0,31,2,0.0,0.0,0
34,0,23660425,0.01,0.01,0.0001,0.0,0.0,1.2726510763168335,-1.576400676661649e-09,1.0,3.232913149986416e-05,8.818581409286708e-05,0.0,-0.25,0.5,0.0,24,2,0.0,0.0,0
34,1,23670425,0.01,0.01,0.0001,4.729958612281759e-12,0.0,1.5152695178985596,-8.67105853785688e-09,1.0,5.9516954934224486e-05,0.00021757590002380311,0.0,-1.5,1.0,0.0,25,2,0.0,0.0,0
34,2,23680425,0.01,0.01,0.0001,3.8371896805833305e-12,0.0,1.564598560333252,-1.8153590630731742e-08,1.0,6.700730591546744e-05,0.0002171751402784139,0.0,-0.25,0.5,0.0,36,2,0.0,0.0,0
