decision,step_id,actor,selected,legal_actions
278,278,0,"PON 发 consumed=[发,发] from P3","PON 发 consumed=[发,发] from P3 | 过"
279,279,0,打8s,打8s | 打9m | 打9p | 打9s | 打北 | 打南 | 打西
280,280,1,"CHI 8s consumed=[6s,7s] from P0","PON 8s consumed=[8s,8s] from P0 | CHI 8s consumed=[6s,7s] from P0 | CHI 8s consumed=[7s,9s] from P0 | 过"
281,281,1,打5m,打5m | 打6m | 打6p | 打7m | 打8p | 打9s | 打南
282,282,2,过,"CHI 5m consumed=[4m,6m] from P1 | CHI 5m consumed=[6m,7m] from P1 | 过"
283,283,3,过,过
284,284,0,过,过
285,285,2,打4m,打4m | 打6m | 打6s | 打7m | 打7s | 打8s | 打9p | 打9s
286,286,3,过,过
287,287,0,过,过
288,288,1,过,过
